분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지 주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(Y좌표),경도(X좌표),유무료,문화포털상세URL
축제-문화/예술,중구,일상의 공간이 축제의 공간으로! 세종썸머페스티벌 Groove,2023-07-21~2023-09-09,광화문광장,세종문화회관,프로그램별 상이,,,,,https://www.sejongpac.or.kr/portal/qestnar/qustnr/view.do?qustnrSn=1085&menuNo=200027&status=T&pageUnit=8&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e67f36836b5e482f9ae92217c6076985&thumb=Y,2023-07-21,기관,2023-07-21,2023-09-09,문화가 있는 날,37.57184786,126.9761683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142497&menuNo=200010
전시/미술,서대문구,exhibition 나의 여름,2023-08-03~2023-09-30,서울시 서대문구 이화여대 2가길 24 2층 히든플레이스,기타,누구나,무료,,,,https://www.instagram.com/hiddenplace.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a93602618f4a40f0bbb84c1954496f69&thumb=Y,2023-07-21,시민,2023-08-03,2023-09-30,어린이/청소년 문화행사,37.55848121,126.9462494,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142495&menuNo=200009
교육/체험,강북구,2023년 삼각산시민청 [수요창작소: 그린리더 캠페인],2023-07-26~2023-07-26,삼각산시민청 2동 워크숍룸1,시민청,청소년(초.중.고) 누구나 신청 가능,,,,,https://sg.seoulcitizenshall.kr/?r=sg&m=bbs&bid=board2&cat=&sort=gid&orderby=asc&recnum=20&where=&keyword=&p=1&uid=3084,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f576b05c9b384b93b48c04a6ab60e5ad&thumb=Y,2023-07-21,기관,2023-07-26,2023-07-26,기타,37.65615469,127.0130917,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142493&menuNo=200011
교육/체험,강북구,"[삼각산아트랩 전시연계] 우리 집, 청사진 만들기",2023-08-26~2023-08-26,삼각산시민청 2동 워크숍룸1,삼각산시민청,시민 누구나,,,,,https://sg.seoulcitizenshall.kr/?r=sg&m=reserve&cate=%EC%A0%84%EC%B2%B4&catesub=&mod=view&p=1&uid=1641&catepro=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=80f15272e1b5404498963bd2392ad548&thumb=Y,2023-07-21,기관,2023-08-26,2023-08-26,기타,37.65615469,127.0130917,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142492&menuNo=200011
교육/체험,관악구,[기술 입은 문화예술교육] 관악!아트랩 203 AI와 함께하는 별별무브 시즌3,2023-08-21~2023-11-01,싱글벙글교육센터(관악구 남부순환로234길 73),관악문화재단,"아동(초등학생 5·6학년), 청소년(중·고등학생 재학생 및 해당 연령대 누구나),  청년(만 19세이상~ 39세이하 1983.7.18일 기준)",,,,,https://www.gfac.or.kr/html/notify/notify1_view.html?pk=1689561799722-1d90bcc5-b884-4b48-ac1f-596c695b9253,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a4cde44546c41fd8f326d303cb10afb&thumb=Y,2023-07-20,기관,2023-08-21,2023-11-01,어린이/청소년 문화행사,37.47609625,126.9562881,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142489&menuNo=200011
교육/체험,관악구,[관악문화재단] 2023 어린이 체험·교육 활동 제2기 리틀강감찬,2023-08-01~2023-11-30,관악구 및 서울권,관악문화재단,관악구에 소재한 초등학교 6학년 학생 모두 신청이 가능해요!,,,,,https://www.gfac.or.kr/html/notify/notify1_view.html?pk=1689052830753-5f222f95-b228-4dba-87b5-92140ccdda79,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=46e89862f2f943c593cdc8214d29c0af&thumb=Y,2023-07-20,기관,2023-08-01,2023-11-30,기타,37.46759765,126.9448709,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142488&menuNo=200011
교육/체험,은평구,[은평문화재단] 7월 예술과 모임,2023-07-25~2023-07-25,서울혁신파크 내 '카페 쓸',은평문화재단,은평 지역과 예술에 관심이 있는 누구나!,,,,,https://www.efac.or.kr/sub06/sub01.php?type=view&uid=3547,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0d9dcd748c1747d2b3f12b5fb9a9df3d&thumb=Y,2023-07-20,기관,2023-07-25,2023-07-25,기타,37.60940705,126.9349539,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142487&menuNo=200011
교육/체험,서초구,2023년 국내 보훈사적지 탐방 [우리의 유산을 그리다],2023-08-19~2023-08-26,홈페이지 참고,기타,초등학교 고학년(4~6학년) 및 해당 자녀를 둔 가족 대상,무료,,2023년 국내 보훈사적지 탐방 ,,https://cafe.naver.com/drawingourheritage/2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0491c97afb8a45149841d030c19680f9&thumb=Y,2023-07-20,기관,2023-08-19,2023-08-26,어린이/청소년 문화행사,37.5239978,127.0356302,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142486&menuNo=200011
교육/체험,은평구,[은평문화재단] 2023 은평 로컬아키비스트,2023-08-26~2023-10-14,"구산동도서관마을, 내를건너서숲으로도서관 등 은평구 일원 ",은평문화재단,분야별 아카이빙 실습 참여 가능한 사람 ,전시 재료비 별도,,,,https://www.efac.or.kr/sub06/sub01.php?type=view&uid=3537,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8dd35a44fd9346e7b6ceb4580d5a59f2&thumb=Y,2023-07-20,기관,2023-08-26,2023-10-14,기타,37.60951019,126.9130879,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142485&menuNo=200011
콘서트,강동구,강동성심병원과 강동예술인이 함께 찾아가는 [심쿵 콘서트],2023-07-21~2023-07-21,강동성심병원 일송홀(대강당),강동문화재단,누구나,,,,,http://www.gdfac.or.kr/web/lay2/bbs/S1T235C370/A/23/view.do?article_seq=14162&cpage=1&rows=10&condition=&keyword=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1255ecfcd6814f0a8155c3c6d5cceb0d&thumb=Y,2023-07-20,기관,2023-07-21,2023-07-21,문화가 있는 날,37.53615555,127.1353357,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142484&menuNo=200008
전시/미술,영등포구,[2023 신진미술인 지원 프로그램] 최나욱 기획전 [방으로 간 도시들],2023-07-20~2023-08-11,SeMA 벙커 B1 전시실,서울시립미술관,시민 누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1202571,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=69c0d229b4a44f0ab8777f878e789fb0&thumb=Y,2023-07-20,기관,2023-07-20,2023-08-11,기타,37.52490456,126.9229717,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142483&menuNo=200009
교육/체험,중구,"2023 서울 Web 3.0 페스티벌 DDP NFT 포럼 [예술과 NFT, 그리고 미래]",2023-07-31~2023-07-31,동대문디자인플라자(DDP) 디자인랩 3층 디자인홀,동대문디자인플라자,NFT 및 예술분야에 관심있는 분들,,,,,http://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=585&boardno=16&bbstopno=585&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e1a5fb5ae7f3412fa9bb29bb0e9fbc21&thumb=Y,2023-07-20,기관,2023-07-31,2023-07-31,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142482&menuNo=200011
교육/체험,강북구,[삼각산시민청] 전시연계 나의 ㄱ 책 만들기,2023-07-22~2023-07-22,삼각산시민청 2동 워크숍룸1,삼각산시민청,관심 있는 시민 누구나,,,,,https://sg.seoulcitizenshall.kr/?r=sg&m=reserve&cate=%EC%A0%84%EC%B2%B4&catesub=&mod=view&p=1&uid=1639&catepro=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=469f266d72a64adca01de5bdec212d0a&thumb=Y,2023-07-20,기관,2023-07-22,2023-07-22,기타,37.65615469,127.0130917,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142481&menuNo=200011
교육/체험,강북구,[삼각산시민청] 전시연계 부조로 표현하는 앉은 자리,2023-08-12~2023-08-12,삼각산시민청 2동 워크숍룸1,삼각산시민청,관심 있는 시민 누구나,,,,,https://sg.seoulcitizenshall.kr/?r=sg&m=reserve&cate=%EC%A0%84%EC%B2%B4&catesub=&mod=view&p=1&uid=1640&catepro=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=66b1d3d6939640a5bdf9d984e1d5dc23&thumb=Y,2023-07-20,기관,2023-08-12,2023-08-12,기타,37.65615469,127.0130917,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142480&menuNo=200011
축제-시민화합,강북구,강북 썸머 워터 페스티벌,2023-08-02~2023-08-06,북서울 꿈의 숲 문화광장,서울시청,누구나,,,,,https://blog.naver.com/artte12/223155182413,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a7d96d7571c74e6ab045d9087596fb57&thumb=Y,2023-07-19,시민,2023-08-02,2023-08-06,어린이/청소년 문화행사,37.62025446,127.0443247,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142479&menuNo=200010
교육/체험,동작구,2023년 국립서울현충원 제3회 나라사랑 보드게임 대회,2023-07-10~2023-08-19,국립서울현충원,기타,어린이,무료,,"국립서울현충원은 전국 초등학생들과 함께 제3회 국립서울현충원 나라사랑보드게임 대회를 진행합니다. 오늘의 대한민국이 있기에 헌신하신 독립운동가를 도와 재미있는 보드게임도 하고, 알차게 역사 공부도 할 초등학생들을 기다립니다. 제3회 나라사랑 보드게임 대회에 많은 관심과 참여 부탁드립니다~!",,https://blog.naver.com/snmblove/223149763481,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=24e17605cf5c43c29399a54cba2a9ef5&thumb=Y,2023-07-19,기관,2023-07-10,2023-08-19,어린이/청소년 문화행사,37.49982365,126.9784084,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142478&menuNo=200011
독주/독창회,강남구,내 마음에 한 노래 있어Ⅰ 소프라노 정주희 독창회,2023-07-26~2023-07-26,세라믹팔레스홀,기타,만 7세 이상,"전석 20,000원 (학생 할인 50%)",,,,http://www.cphall.org/bbs/board.php?bo_table=board0302&year=2023&month=7&wr_id=1051,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=381a9ebfe725453baa25f054cb9cd78a&thumb=Y,2023-07-19,시민,2023-07-26,2023-07-26,,37.4858171,127.0824692,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142477&menuNo=200008
축제-전통/역사,중구,남산골 밤마실 [기담야행2 : 망혼일 축제],2023-08-17~2023-08-20,서울남산국악당 일대,서울남산국악당,8세 이상,"10,000원",,,,https://www.hanokmaeul.or.kr/ko/g/perf/%eb%82%a8%ec%82%b0%ea%b3%a8-%eb%b0%a4%eb%a7%88%ec%8b%a4-%ea%b8%b0%eb%8b%b4%ec%95%bc%ed%96%892-%eb%a7%9d%ed%98%bc%ec%9d%bc-%ec%b6%95%ec%a0%9c,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1678daec275543a7b9ca508dbfda51bc&thumb=Y,2023-07-19,기관,2023-08-17,2023-08-20,문화가 있는 날,37.55842868,126.9937073,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142476&menuNo=200010
교육/체험,양천구,2023 엄마아빠 행복 프로젝트 [7월 가족 힐링 예술놀이],2023-07-29~2023-07-29,서서울예술교육센터,서울문화재단,부모 또는 어린이 동반 가족(프로그램별 상이),,,,,https://www.sfac.or.kr/participation/sfac_program.do?eduGubunSel=&pageIndex=&eduMstSeq=32872&eduScheSeq=&mode=VIEW&mstStatus=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8f00c575bffe4debab3ec2e867ae8a23&thumb=Y,2023-07-19,기관,2023-07-29,2023-07-29,기타,37.52821978,126.8321453,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142475&menuNo=200011
클래식,구로구,"[브런치콘서트 이달의 공연] 8월 보이는 콘서트, 현대무용",2023-08-29~2023-08-29,구로아트밸리 예술극장,구로문화재단,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3670&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ed402818dc964394a5006d8e64fefe83&thumb=Y,2023-07-19,기관,2023-08-29,2023-08-29,기타,37.49655847,126.8889639,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142474&menuNo=200008
전시/미술,서초구,서리풀청년아트갤러리 [한여름의 진눈깨비],2023-07-01~2023-07-28,서리풀청년아트갤러리,서초문화재단,전체관람가,,,,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=594,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6fd6c08f5c1f4191a499f4c4c7933000&thumb=Y,2023-07-19,기관,2023-07-01,2023-07-28,기타,37.48113823,127.013504,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142473&menuNo=200009
교육/체험,금천구,"북적북적 함께해요, 금천가족음악극장",2023-08-12~2023-09-10,"금천평생학습관, 금나래갤러리",금천문화재단,금천구에 거주하는 6가족 (25명 내외),,,,,https://gcfac.or.kr/board/perforNoticeDetail?notice_gb=&board_seq=8184&gcfac_menu_cd=U0016&currRow=1&scType=all&srch_input=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cf5a959e031845dd833da3bc238f2ddf&thumb=Y,2023-07-19,기관,2023-08-12,2023-09-10,기타,37.45657851,126.8959725,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142472&menuNo=200011
콘서트,금천구,[너나나시리즈] The Moment,2023-08-23~2023-08-23,금나래아트홀,금천문화재단,13세이상,"전석 20,000원",,,,https://gcfac.or.kr/board/perforNoticeDetail?notice_gb=&board_seq=8176&gcfac_menu_cd=U0016&currRow=1&scType=all&srch_input=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3d4eaed0d7964cd58928d8e6c54b68eb&thumb=Y,2023-07-19,기관,2023-08-23,2023-08-23,기타,37.45657851,126.8959725,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142471&menuNo=200008
교육/체험,성북구,[성북문화재단] 지식순환 네트워크 프로그램 '미술의 맛',2023-07-24~2023-09-11,프로그램별 상이,성북문화재단,관심 있는 시민 누구나,,,,,https://www.sbculture.or.kr/culture/bbs/BMSR00005/view.do?boardId=22422&menuNo=500144,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c2e86380db42422db0db82880ff35f24&thumb=Y,2023-07-19,기관,2023-07-24,2023-09-11,기타,37.61501747,127.0440686,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142470&menuNo=200011
무용,양천구,세컨드네이처 댄스컴퍼니 [슬리핑 뷰티],2023-08-04~2023-08-05,양천문화회관 대극장,양천문화재단,8세 이상,"전석 20,000원",,,,https://yfac.kr/main/site/ticket/page1.do?proc_type=view&tidx=203&prepage=%2Fmain%2Fsite%2Fticket%2Fpage1.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c458eef90b2d401a9117b073347faa81&thumb=Y,2023-07-19,기관,2023-08-04,2023-08-05,기타,37.51652093,126.86334,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142468&menuNo=200008
클래식,강동구,디토 오케스트라 정기연주회-톡톡 클래식 [This Is RAVEL],2023-08-18~2023-08-18,강동아트센터 대극장 한강,강동문화재단,8세 이상 관람가(미취학 아동 관람불가),"R석 30,000원 S석 20,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1959&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bd6a282053924005a5cc083bf7a2cc00&thumb=Y,2023-07-19,기관,2023-08-18,2023-08-18,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142467&menuNo=200008
국악,강동구,창작살롱 반락 [별별(別別)타령],2023-08-12~2023-08-12,강동아트센터 소극장 드림,강동문화재단,8세이상 관람가,,,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1965&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=77a4c5c440f942fb9130982f05171e68&thumb=Y,2023-07-19,기관,2023-08-12,2023-08-12,,37.55122046,127.1573425,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142466&menuNo=200008
국악,강동구,사부작당 [향기장수 이야기],2023-08-11~2023-08-11,강동아트센터 소극장 드림,강동문화재단,8세이상 관람가,,,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1964&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4dcd4609449f41de903c92006f76a66f&thumb=Y,2023-07-19,기관,2023-08-11,2023-08-11,기타,37.55122046,127.1573425,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142465&menuNo=200008
국악,강동구,놀 플러스 [놀 플레이],2023-08-05~2023-08-05,강동아트센터 소극장 드림,강동문화재단,8세이상 관람가,,,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1963&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f85df71e6c0343a195d94309ebee785f&thumb=Y,2023-07-19,기관,2023-08-05,2023-08-05,기타,37.55122046,127.1573425,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142464&menuNo=200008
국악,강동구,농악천하지대본 [농악콘서트 YOUNG인전],2023-08-04~2023-08-04,강동아트센터 소극장 드림,강동문화재단,8세이상 관람가,,,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1962&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6a0ad42e967480ab0c511cfa22239d9&thumb=Y,2023-07-19,기관,2023-08-04,2023-08-04,기타,37.55122046,127.1573425,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142463&menuNo=200008
전시/미술,종로구,[2023 운현궁 기획전시] 줌치와 나누는 사색(思索),2023-07-25~2023-07-30,운현궁 기획전시실,운현궁,관람객 자유관람(전체 관람가),,,,,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?sno=0&group=basic&code=B35&category=&&abmode=view&no=1182&bsort=&bfsort=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6d56703d805c4dada9996ed45467c7aa&thumb=Y,2023-07-19,기관,2023-07-25,2023-07-30,기타,37.576125,126.98705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142462&menuNo=200009
교육/체험,도봉구,[도봉문화원] 원!투!쓰리!클래스 연극꿈틀 & 사진꿈틀,2023-07-24~2023-11-04,"도봉문화원, 창포원",도봉문화원,"사진꿈틀-중고등학생, 사진꿈틀-도봉구민 누구나",,,,,http://www.dobong.or.kr/main/main.php?categoryid=06&menuid=01&groupid=00,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0aed64f95eea4b9da71ab61034ff5e1f&thumb=Y,2023-07-18,기관,2023-07-24,2023-11-04,기타,37.65419928,127.0388705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142459&menuNo=200011
콘서트,동작구,2023년 국립서울현충원 6.25정전 70주년 기념 호국음악회,2023-07-27~2023-07-27,국립서울현충원 현충관,기타,사전신청자에 한하여 입장가능,무료,"연주: 서초교향악단 55여명, 지휘: 배종훈(해설, 사회 동시 진행), 협연: 케이페라 린(여성 국악 그룹), 고진엽(팝페라 가수)",국립서울현충원에서는 6·25정전 70주년을 맞이하여 호국영령들의 숭고한 희생에 감사하는 마음을 담은 음악회를 진행합니다.,신청방법: www.snmb.mil.kr 접속 후 '신청마당 - 현충원 예약신청 - 음악회 신청'에서 신청,https://www.snmb.mil.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d62eff61d48f448a84beaf09d988dd2a&thumb=Y,2023-07-18,기관,2023-07-27,2023-07-27,기타,37.49982365,126.9784084,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142458&menuNo=200008
콘서트,중구,[서울스테이지11] 너를 위한 여름 플레이리스트2_사운드힐즈,2023-08-03~2023-08-03, 서울시청 시민청 지하1층 활짝라운지,시민청,시민 누구나,,,,,https://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2686,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2804d0646401476c97744e94e5a5e312&thumb=Y,2023-07-18,기관,2023-08-03,2023-08-03,문화가 있는 날,37.566635,126.978675,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142457&menuNo=200008
축제-기타,중구,코리아 핀테크 위크 2023,2023-08-30~2023-09-01,DDP 아트홀 및 컨퍼런스홀,동대문디자인플라자,시민 누구나,,,,,http://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=584&boardno=16&bbstopno=584&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9012fcd5d6bf407494e091ee7b5b2f8e&thumb=Y,2023-07-18,기관,2023-08-30,2023-09-01,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142456&menuNo=200010
축제-문화/예술,종로구,대한민국 청년미술축제 : 아트그라운드,2023-08-17~2023-08-20,마루아트센터 특별관,기타,누구나,,"김미현, 404(김민정), 김민지, 김민지, 호정(김호정), 박세연, 박종희, Purplet(배준호), 송병권, 송인호, 이래, 이용현, 이지열, 이채현, 장혜영, 정혜련, 주건우, 최봉석","모두를 위한 열정, 재미, 영감이 어우러지는 트렌디한 청년 미술 축제!		",,http://www.artground.net/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=36db9926c84a47d4ad86f8c8f7dfe6d8&thumb=Y,2023-07-18,시민,2023-08-17,2023-08-20,기타,37.57341354,126.9850589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142454&menuNo=200010
기타,마포구,[8-9월 서강도서관] 2023년 읽는 인간 호모부커스 Ⅲ '참을 수 없는 존재의 가벼움',2023-08-31~2023-09-21,마포구립서강도서관 3층 세미나실,마포구청,성인,없음,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7067,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ef97d3ce880447e9a9ae518685a0c013&thumb=Y,2023-07-17,기관,2023-08-31,2023-09-21,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142453&menuNo=200013
클래식,용산구,2023 서울시향 뮤지엄 콘서트 : 국립중앙박물관,2023-08-31~2023-08-31,국립중앙박물관 으뜸홀,서울시립교향악단,누구나,,"(지휘) 데이비드 이, (사회) 김진근 악보위원",,,https://www.seoulphil.or.kr/perf/view?perfNo=5673&calendarDate=2023/08/31&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f96ae0396a154c1386dd0fb0590c9ca6&thumb=Y,2023-07-17,기관,2023-08-31,2023-08-31,,37.52399999,126.9802709,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142451&menuNo=200008
클래식,종로구,2023 서울시향 뮤지엄 콘서트 : 서울공예박물관(공예마당),2023-08-29~2023-08-29,서울공예박물관 공예마당(안마당),서울시립교향악단,누구나,,"(지휘) 데이비드 이, (사회) 김진근 악보위원",,,https://www.seoulphil.or.kr/perf/view?perfNo=5669&calendarDate=2023/08/29&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ad9f43da1e9d427799d5a3a5f869a08c&thumb=Y,2023-07-17,기관,2023-08-29,2023-08-29,,37.57664817,126.9835334,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142450&menuNo=200008
전시/미술,구로구,[일러스트 전시회] 댕댕이의 생활일기,2023-08-03~2023-09-10,구캔갤러리,기타,누구나,"청소년 5,000원 / 성인 7,000원 (평일 낮 3시까지 모두 5,000원)",,,,http://www.goocan.co.kr/23/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15690738&t=board,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=748122ecd5b64851b64d6c77f7cc1af6&thumb=Y,2023-07-17,시민,2023-08-03,2023-09-10,기타,37.50904922,126.8869873,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142448&menuNo=200009
전시/미술,강남구,"[슈페리어갤러리] 김기태, 신선애 A Magical day",2023-07-14~2023-08-09,슈페리어갤러리 제1전시관,기타,누구나,,,,,https://blog.naver.com/gallery3366/223158683314,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6c908eba82c34e32bf98f74db3f293f7&thumb=Y,2023-07-17,시민,2023-07-14,2023-08-09,기타,37.50809527,127.062,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142447&menuNo=200009
콘서트,양천구,음악·사운드아트 특화사업 [사운즈 온 쇼케이스 2023],2023-08-18~2023-08-27,문래예술공장 (서울 영등포구 경인로88길 5-4),서울문화재단,프로그램별 상이,,,,,https://www.sfac.or.kr/artspace/artspace/mullae_notice.do?cbIdx=979&bcIdx=134504&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=271491f4a2e54243bf805c6972e49a2c&thumb=Y,2023-07-17,기관,2023-08-18,2023-08-27,기타,37.51321703,126.9001259,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142446&menuNo=200008
교육/체험,동작구,[동작문화재단] 꿈다락 문화예술학교 '무궁화 꽃이 피었습니다',2023-07-17~2023-08-05,동작아트갤러리 세미나실,동작문화재단,초등학교 1~3학년,,,,,http://www.idfac.or.kr/bbs/board.php?bo_table=gallery_info&wr_id=117,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15ba5c54056e4d30a56728e6f50da963&thumb=Y,2023-07-17,기관,2023-07-17,2023-08-05,,37.49379251,126.9231084,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142445&menuNo=200011
