분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지 주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(Y좌표),경도(X좌표),유무료,문화포털상세URL
교육/체험,송파구,[서울책보고독서의 달 특집] 김기태의 초판본 이야기,2023-08-04~2023-09-22,서울책보고,서울책보고,관심있는 시민 누구나(선착순 70명),,,,,https://seoulbookbogo.kr/front/index.php?g_page=event&m_page=event01&act=View&D_IDX=3923&ViewType=List,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=88b8cda30e3c47bb8d325b56aa72afcf&thumb=Y,2023-09-07,기관,2023-08-04,2023-09-22,,37.5223926,127.102983,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143196&menuNo=200011
전시/미술,은평구,[2023 신진미술인 지원 프로그램] 박미라 개인전 《페어링》,2023-08-31~2023-09-24,SeMA 창고 1층 전시실,서울시립미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1212122,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e8b1f2b75e5744f58c479c570e1350eb&thumb=Y,2023-09-05,기관,2023-08-31,2023-09-24,,37.60933472,126.9343404,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143161&menuNo=200009
전시/미술,은평구,[2023 신진미술인 지원 프로그램] 윤미류 개인전 《방화광》,2023-08-31~2023-09-24,SeMA 창고 1층  4-5 전시실,서울시립미술관,전체관람가,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1212142,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=427583702a39422ca4241cd2fa9f01d0&thumb=Y,2023-09-05,기관,2023-08-31,2023-09-24,,37.60933472,126.9343404,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143160&menuNo=200009
교육/체험,종로구,[서울역사박물관] 제39기 중학생 인턴제,2023-05-15~2023-11-11,서울역사박물관,서울역사박물관,중학생 대상,,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1005&categoryVal=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af1c9c36cd1341ce80d7c0bc1d86ecc6&thumb=Y,2023-09-04,기관,2023-05-15,2023-11-11,,37.57050753,126.9705237,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143131&menuNo=200011
전시/미술,강남구,Alone but Together 展,2023-08-31~2023-09-26,슈페리어갤러리,기타,누구나,,,,,https://blog.naver.com/gallery3366,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8f880f6afc1d4a01864c2ee0a19dc988&thumb=Y,2023-09-04,시민,2023-08-31,2023-09-26,기타,37.50809527,127.062,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143130&menuNo=200009
교육/체험,종로구,[서울역사박물관] 청소년 박물관 톡(Talk),2023-05-15~2023-12-08,서울역사박물관 2학습실,서울역사박물관,청소년(중·고등학교 학급 단체),,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1005&categoryVal=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3864d800b81049a4aee22db479d9d2b5&thumb=Y,2023-09-04,기관,2023-05-15,2023-12-08,,37.57050753,126.9705237,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143129&menuNo=200011
전시/미술,강남구,농담: 내게서 번져 당신에게 건네는,2023-08-31~2023-09-04,서울시 강남구 신사동 640-11 캔버스N 갤러리 B/D,기타,누구나,무료,,,,http://www.canvasn.net/exhibition/%EB%86%8D%EB%8B%B4-%EB%82%B4%EA%B2%8C%EC%84%9C-%EB%B2%88%EC%A0%B8-%EB%8B%B9%EC%8B%A0%EC%97%90%EA%B2%8C-%EA%B1%B4%EB%84%A4%EB%8A%94/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cbdbaefa9a174d369269f6d811fb802a&thumb=Y,2023-09-01,시민,2023-08-31,2023-09-04,기타,37.52758204,127.0360356,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143117&menuNo=200009
콘서트,용산구,[노들섬] 2023 서울거리공연 구석구석라이브,2023-07-01~2023-11-30,노들섬 1F 노들서가,노들섬,문화예술에 관심 있는 누구나,무료,,,,https://seoulbusking.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86cb5016f5f248199eed028e124ec5b2&thumb=Y,2023-09-01,기관,2023-07-01,2023-11-30,기타,37.51766383,126.9580365,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143105&menuNo=200008
전시/미술,서초구,Blooming Blue - Blue in Yellow 개인전,2023-08-10~2023-09-25,앤스갤러리카페,기타,카페 이용객 누구나,,,,,https://www.instagram.com/p/CwkIjJYLuaM/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3da8ab636b384ba49092a9107161ebdc&thumb=Y,2023-08-30,시민,2023-08-10,2023-09-25,기타,37.47352526,126.9838121,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143074&menuNo=200009
교육/체험,은평구,[구립증산정보도서관] 2023년 2기 은평구 참여형 경제교실,2023-08-28~2023-09-09,증산정보도서관 지하 1층 문화강좌실,은평구청,관내 초등학생 4~6학년생 15명,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1774&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4cbf6410a0e54932adbe63598b2a0f29&thumb=Y,2023-08-29,기관,2023-08-28,2023-09-09,어린이/청소년 문화행사,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143047&menuNo=200011
